ID,Bezeichnung,Konflikte,Muster SUB,Muster PART,Muster HG,A: Hauptgruppe,B: Hauptgruppe,A: subClassOf,B: subClassOf,A: partOf,B: partOf,A: Erläuterung,B: Erläuterung,ENTSCHEIDUNG (nur Ausnahmen),Kommentar C
11062,Halter für Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11293,Hauptscheinwerfergehäuse,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11512,Kabelsatz für Fernscheinwerfer,"SUB, PART",SUB-001,PART-059,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10207 Fernscheinwerfer,,,,
11513,Kabelsatz für Hauptscheinwerfer,"SUB, PART",SUB-001,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10210 Hauptscheinwerfer,,,,
10648,Kappe Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11514,Kappe für Nebelscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11551,Lampenfassung für Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11555,Lichtscheibe für Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
10234,Motor Klappscheinwerfer,"SUB, PART",SUB-001,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10210 Hauptscheinwerfer,,Antrieb Klappscheinwerfer,,
10236,Motor Leuchtweitenregulierung,"SUB, PART",SUB-001,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10210 Hauptscheinwerfer,,,,
11301,Nebelscheinwerferkappe,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11294,Nebelscheinwerferrahmen,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11603,Rahmen für Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11604,Rahmen für Nebelscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11646,Scheinwerferaufnahme für Beleuchtung,"SUB, PART",SUB-001,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),HG3 Karosserie,,karosserieseitige Aufnahme,,
10650,Scheinwerfereinsatz Fernscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10207 Fernscheinwerfer,10207 Fernscheinwerfer,,,,
10651,Scheinwerfereinsatz Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
10652,Scheinwerfereinsatz Nebelscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
10752,Scheinwerfereinsatz für Suchscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),— (leer),,Suchscheinwerfer nicht als eigene Baugruppe vorhanden,,
10278,Scheinwerferglas,"SUB, PART",SUB-001,PART-031,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10651 Scheinwerfereinsatz Hauptscheinwerfer,10210 Hauptscheinwerfer,,Streuscheibe,,
10132,Scheinwerfertragrahmen,"SUB, PART",SUB-001,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),HG3 Karosserie,,karosserieseitiger Tragrahmen (Frontmaske),,
10671,Stellelement für Leuchtweiteregulierung,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
10647,Streuscheibe Fernscheinwerfer,"SUB, PART",SUB-001,PART-042,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10650 Scheinwerfereinsatz Fernscheinwerfer,10207 Fernscheinwerfer,,,,
10646,Streuscheibe Hauptscheinwerfer,"SUB, PART",SUB-001,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
10649,Streuscheibe Nebelscheinwerfer,SUB,SUB-001,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11734,Vorschaltgerät für Gasentladungslampe,"SUB, PART",SUB-001,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10210 Hauptscheinwerfer,,Xenon-Ballast,,
11840,Zündgerät Scheinwerfer,"SUB, PART",SUB-001,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10210 Hauptscheinwerfer,,Xenon-Zündgerät,,
10665,Gehäuse Heckleuchte,"SUB, PART",SUB-002,PART-010,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10859 Heckleuchtensatz,10260 Rückleuchte,,,,
11048,Gehäuse für Kennzeichenleuchte,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10223 Kennzeichenleuchte,10223 Kennzeichenleuchte,,,,
11499,Halter für Heckleuchte,"SUB, PART",SUB-002,PART-010,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10859 Heckleuchtensatz,10260 Rückleuchte,,,,
10668,Lampenträger Bremsleuchte,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10561 Bremsleuchte,10561 Bremsleuchte,,,,
10669,Lampenträger Heckleuchte,"SUB, PART",SUB-002,PART-010,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10859 Heckleuchtensatz,10260 Rückleuchte,,,,
10670,Lampenträger Schlußleuchte,"SUB, PART",SUB-002,PART-022,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10260 Rückleuchte,,Schlussleuchte = Rückleuchte,,
10654,Lichtscheibe für Heckleuchte,"SUB, PART",SUB-002,PART-010,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10859 Heckleuchtensatz,10260 Rückleuchte,,,,
11556,Lichtscheibe für Kennzeichenleuchte,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10223 Kennzeichenleuchte,10223 Kennzeichenleuchte,,,,
11558,Lichtscheibe für Rückfahrleuchte,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10661 Rückfahrleuchte,10661 Rückfahrleuchte,,,,
11559,Lichtscheibe für Schlussleuchte,"SUB, PART",SUB-002,PART-022,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,— (leer),10260 Rückleuchte,,,,
11476,Rückfahrleuchtengehäuse,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10661 Rückfahrleuchte,10661 Rückfahrleuchte,,,,
10261,Rückleuchte Leiterplatte,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10260 Rückleuchte,10260 Rückleuchte,,,,
11478,Rückleuchtengehäuse,SUB,SUB-002,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,10260 Rückleuchte,10260 Rückleuchte,,,,
10391,Stoßstange Grundausführung für Kunststoff SW/Grau mit Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10570,Stoßstange Grundausführung für Kunststoff SW/grau mit Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10571,Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
