Muster-ID,Typ,Anzahl Zeilen,A: Wert,B: Wert,Beispiele,ENTSCHEIDUNG,Kommentar C
GRUNDSATZ,STIL,453,Zonen-Hierarchie (vorne/Mitte/hinten × außen/innen),Funktions-Hierarchie (Systeme/Baugruppen-Typen),"Rahmenentscheidung — steuert, welche SUB-Muster-Blöcke du bevorzugst",,
HG-001,HG,7,5 Sonstige,3 Karosserie,"Anhängerkupplung, Anhängerkupplung mit E-Satz abnehmbar, Anhängerkupplung mit E-Satz nicht abnehmbar …",B,
HG-002,HG,4,4 Innenraum,3 Karosserie,"Kondenswasserablaufschlauch für Innenraumluftfiltergehäuse, Schließzylinder für Zündschloß, Verbindungsrohr für Heizungskanal …",A,
HG-003,HG,4,3 Karosserie,1 Unterboden,"Be-/Entlüftungsventil für Kraftstoffbehälter, Einfüllstutzen für Kraftstoffbehälter, Spurverbreiterung …",A,
HG-004,HG,2,1 Unterboden,3 Karosserie,"Auspuffblende, Radabdeckung",B,
HG-005,HG,1,2 Motorraum,3 Karosserie,Domstrebe,A,
HG-006,HG,1,3 Karosserie,4 Innenraum,Antrieb Kofferraumabdeckung,B,
HG-007,HG,1,3 Karosserie,2 Motorraum,Motor Drallklappen,B,
HG-008,HG,1,2 Motorraum,1 Unterboden,Abgasrohr Heizgerät,A,
SUB-001,SUB,27,20003 „Beleuchtung / Elektrik vorne“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,"Halter für Hauptscheinwerfer, Hauptscheinwerfergehäuse, Kabelsatz für Fernscheinwerfer …",A,
SUB-002,SUB,13,20013 „Beleuchtung / Elektrik hinten“,21004 „Leuchten-Anbau- & Ersatzkomponenten“,"Gehäuse Heckleuchte, Gehäuse für Kennzeichenleuchte, Halter für Heckleuchte …",A,
SUB-003,SUB,12,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,"Stoßstange Grundausführung für Kunststoff SW/Grau mit Nebelscheinwerfer mit Spoiler, Stoßstange Grundausführung für Kunststoff SW/grau mit Nebelscheinwerfer ohne Spoiler, Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer mit Spoiler …",A,"Warum werden unter A: Wert die Bezeichnung „Stossfänger vorne / hinten“ zusammengefasst? Es müsste ""Stossfänger vorne"" und ""Stossfänger hinten"" heißen."
SUB-004,SUB,11,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,"Dach Cabrio, Dach Targa, Dach geschlossen …",B,
SUB-005,SUB,9,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,"Abbiegelicht, Fernscheinwerfer, Hauptfernscheinwerfer …",A,
SUB-006,SUB,8,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“","Bremsleuchte, Kennzeichenleuchte, Nebelschlussleuchte …",A,
SUB-007,SUB,8,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,"Außenspiegel elektrisch Standard, Außenspiegel elektrisch grundiert, Außenspiegel elektrisch lackiert …",B,
SUB-008,SUB,8,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Blende Kotflügel, Blende Kühlergrill, Kotflügelverbreiterung …",B,
SUB-009,SUB,8,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,"Glühlampe Hauptscheinwerfer, Glühlampe Xenon, Glühlampe für Fernscheinwerfer …",B,
SUB-010,SUB,8,20013 „Beleuchtung / Elektrik hinten“,21001 „Leuchtmittel (Glühlampen & Brenner)“,"Glühlampe Kennzeichenleuchte, Glühlampe Nebelschlußleuchte, Glühlampe für Brems-/Schlusslicht …",B,
