ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
10000,Sonstiges Teil,,5 Sonstige,,5 Sonstige,,,,
10001,Abdeckung Verteiler,,2 Motorraum,,2 Motorraum,,,,
10002,Abschirmblech,,2 Motorraum,,2 Motorraum,,,,
10003,Pumpe ABS,,2 Motorraum,,2 Motorraum,,20031,,
10004,Airbag,,4 Innenraum,,4 Innenraum,,20020,,
10005,Ansaugkrümmer,Saugstutzen; Saugrohr Unterteil,2 Motorraum,,2 Motorraum,,,,
10006,Antenne Dach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10007,Aufprallträger,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10008,Auspuffanlage,Auspuff komplett,1 Unterboden,,1 Unterboden,,,,
10009,Auspuffkrümmer,Abgaskrümmer,2 Motorraum,,2 Motorraum,,,,
10010,Auspuffrohr,,1 Unterboden,,1 Unterboden,,,,
10011,Auspufftopf,Schalldaempfer; Schalldämpfer,1 Unterboden,,1 Unterboden,,,,
10012,Behälter Aktivkohle,,2 Motorraum,,2 Motorraum,,,,
10013,Behälter Bremsflüssigkeit,,2 Motorraum,,2 Motorraum,,20031,,
10014,Behälter Heckwischer,Behälter Heckwischer Waschanlage,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10015,Behälter Kühlwasser,,2 Motorraum,,2 Motorraum,,,,
10016,Behälter Niveauregulierung,,2 Motorraum,,2 Motorraum,,,,
10017,Behälter Scheibenwaschanlage,,2 Motorraum,,2 Motorraum,,,,
10018,Behälter Scheinwerferwaschanlage,,2 Motorraum,,2 Motorraum,,,,
10019,Behälter Servolenköl,,2 Motorraum,,2 Motorraum,,30000,,
10020,Behälter SRA,,2 Motorraum,,2 Motorraum,,,,
10021,Behälter Zentralverriegelung,,2 Motorraum,,2 Motorraum,,,,
10022,Bügelpumpe,,2 Motorraum,,2 Motorraum,,,,
10023,Dämpfer Hecktür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10024,Deckel Achsgetriebe,,1 Unterboden,,1 Unterboden,,,,
10025,Deckel Sicherungskasten,,2 Motorraum,,2 Motorraum,,,,
10026,Drehmomentwandler,Wandler; Transformator,2 Motorraum,,2 Motorraum,,,,
10027,Drehzahlfühler,,2 Motorraum,,2 Motorraum,,,,
10028,Drosselklappe,Drosselklappenteil,2 Motorraum,,2 Motorraum,,,,
10029,Drosselklappenpotenziometer,,2 Motorraum,,2 Motorraum,,,,
10030,Drosselklappenstutzen,,2 Motorraum,,2 Motorraum,,,,
10031,Düsenstöcke,,2 Motorraum,,2 Motorraum,,,,
10032,Einspritzdüse,,2 Motorraum,,2 Motorraum,,,,
10033,Einspritzleitung,Leitung Einspritzdüsen; Leitung Einspritzduesen,2 Motorraum,,2 Motorraum,,,,
10034,Einspritzpumpe,Dieselpumpe,2 Motorraum,,2 Motorraum,,,,
10035,Einspritzpumpenkonsole,,2 Motorraum,,2 Motorraum,,,,
10036,Einspritzpumpenzahnrad,,2 Motorraum,,2 Motorraum,,,,
10037,Fanghaken Klappe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10038,Führungsgelenk,,2 Motorraum,,2 Motorraum,,,,
10039,Führungsrolle,,2 Motorraum,,2 Motorraum,,,,
10040,Gaszug,,2 Motorraum,,2 Motorraum,,,,
10041,Getriebebock,,2 Motorraum,,2 Motorraum,,,,
10042,Getriebestütze,,2 Motorraum,,2 Motorraum,,,,
10043,Glühkerze,,2 Motorraum,,2 Motorraum,,,,
10044,Grundplatte,,2 Motorraum,,2 Motorraum,,,,
10045,Gurtschloss,,4 Innenraum,,4 Innenraum,,20021,,
10046,Gurtstraffer,,4 Innenraum,,4 Innenraum,,20021,,
