ID,Bezeichnung_DE,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
21000,Beleuchtung außen,3,3,Lichttechnik als Anbausystem der Karosserie
21001,Leuchtmittel (Glühlampen & Brenner),21000,,
21002,Scheinwerfer & Frontleuchten,21000,,
21003,"Heck-, Blink- & Signalleuchten",21000,,
21004,Leuchten-Anbau- & Ersatzkomponenten,21000,,"Gehäuse, Lichtscheiben, Träger, Fassungen, Leuchten-Elektrik"
21005,Fahrzeugverglasung,3,,
21006,Außenspiegel & Spiegelkomponenten,3,,
21007,Türen & Klappen,3,,
21008,Anbau- & Mechanikteile für Türen und Klappen,3,,"Scharniere, Griffe, Dämpfer, Gasfedern, Antriebe, Züge"
21009,Schließsystem & Fahrzeugzugang,3,,"Schlösser, Schließzylinder, ZV, Schlüssel"
21010,Fensterheber & Scheibenbetätigung,3,,
21011,Wisch- & Waschanlage,3,3,inkl. Scheinwerferreinigungsanlage
21012,Stoßfängersystem,3,3,"Stoßfänger, Träger, Pralldämpfer, Schürzen"
21013,Karosserie-Blech- & Außenhautteile,3,,
21014,Karosserie-Strukturteile & Verstärkungen,3,,"Träger, Säulen, Streben"
21015,Schutzbügel & Trittstufen,3,,"Front-/Überrollbügel, Schwellerrohre, Trittbretter"
21016,"Zier- & Schutzleisten, Blenden, Embleme",3,,
21017,"Kühlergrill, Gitter & Luftführungen",3,,inkl. karosserieintegrierte Luft-/Wasserführung
21018,Aerodynamik-Anbauteile,3,,"Spoiler, Windabweiser, Hutzen"
21019,Dach- & Verdecksysteme,3,3,"Dächer, Schiebedach, Faltdach/Verdeck"
21020,Träger- & Transportsysteme,3,,"Reling, Gepäck-/Fahrradträger, Reserveradhalter"
21021,Karosseriedichtungen,3,,
21022,Anhängevorrichtung & Zubehör,3,3,
21023,Antennen & Empfangstechnik,3,,Anbauteile außen
21024,Räder & Bereifung,1,,Fahrwerk/Räder; hängt unter 1 Unterboden (HG-Korrektur der Items)
21025,Karosserie-Befestigungs- & Kleinteile,3,,"Clips, Halter, Montagesätze, Puffer"
21026,Nutzfahrzeug-Aufbauten & Anbaugeräte,3,,"Pritsche, Bordwand, Seilwinden, Dachaufbauten Nfz/Reisemobil"
21027,Außenverkleidungen & Abdeckungen,3,,"Radhausschalen, Schweller-/Frontverkleidungen, Abdeckkappen"
21028,Karosserie-Elektrik & Sensorik außen,3,,"Sensoren, Aktorik, Leitungen an Karosserieanbauteilen"
21029,Karosserie-Teilepakete,3,,gemischte Teile-Sets
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
