source	source_label	source_level	target	target_label	relation	tier	hops_source	hops_target	rules
v10006	Antenne Dach	baugruppe	e33639	Fahrzeugantennen	<	seed	0	0	Seed+H3
v10007	Aufprallträger	baugruppe	e262146	Stoßstangeneinlagen & -abdeckungen	<	seed	0	0	Seed+H3
v10014	Behälter Heckwischer	baugruppe	e174112	Wischwasserbehälter, -pumpen & -düsen	=	seed	0	0	Seed
v10023	Dämpfer Hecktür	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10037	Fanghaken Klappe	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10065	Kennzeichenverstärkung	baugruppe	e52638	Nummernschilder & -rahmen	<	seed	0	0	Seed+ADJ
v10066	Klappenscharnier	baugruppe	e262156	Scharniere, Verschlüsse & weitere Motorhaubenteile	<	seed	0	0	Seed+H3
v10067	Klappenschlosszug	baugruppe	e262156	Scharniere, Verschlüsse & weitere Motorhaubenteile	<	seed	0	0	Seed+H3
v10068	Klappenstützen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10088	Kugelkopf Anhängerkupplung	baugruppe	e180145	Kugelköpfe	=	seed	0	0	Seed
v10109	Motorhaubenscharnier	baugruppe	e262156	Scharniere, Verschlüsse & weitere Motorhaubenteile	<	seed	0	0	Seed+H3
v10110	Motorhaubenzug	baugruppe	e262156	Scharniere, Verschlüsse & weitere Motorhaubenteile	<	seed	0	0	Seed+H3
v10124	Pralldämpfer	baugruppe	e262146	Stoßstangeneinlagen & -abdeckungen	<	seed	0	0	Seed+H3
v10125	Querträger	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10131	Scheibenwaschdüse	baugruppe	e262179	Weitere Scheibenwischerteile	<	seed	0	0	Seed+H4
v10132	Scheinwerfertragrahmen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10133	Schiebedach	baugruppe	e262172	Panorama-, Schiebedächer & Teile	<	seed	0	0	Seed+H3
v10134	Schiebedachdeckel	baugruppe	e262172	Panorama-, Schiebedächer & Teile	<	seed	0	0	Seed+H3
v10135	Schließbolzen	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10136	Schließplatte	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10137	Schließzylinder	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10138	Schließzylinder Heckdeckel	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
