# Stufe-B guard candidate TSV (derived from the pinned read-only slice).
# Minimal Stage-1-shaped input so run_stage2_bothorder queries ONLY the 45
# '<'-heavy guard pairs (both orders). relation/score are placeholders —
# the reranker dedups to unique (s,t); direction here is irrelevant.
source_uri	target_uri	relation	score
http://mouse.owl#MA_0000010	http://human.owl#NCI_C12919	<	1.000000
http://mouse.owl#MA_0000041	http://human.owl#NCI_C40186	<	1.000000
http://mouse.owl#MA_0000048	http://human.owl#NCI_C40186	<	1.000000
http://mouse.owl#MA_0000063	http://human.owl#NCI_C12679	<	1.000000
http://mouse.owl#MA_0000064	http://human.owl#NCI_C12679	<	1.000000
http://mouse.owl#MA_0000168	http://human.owl#NCI_C33966	<	1.000000
http://mouse.owl#MA_0000172	http://human.owl#NCI_C13031	<	1.000000
http://mouse.owl#MA_0000184	http://human.owl#NCI_C13031	<	1.000000
http://mouse.owl#MA_0000198	http://human.owl#NCI_C13031	<	1.000000
http://mouse.owl#MA_0000253	http://human.owl#NCI_C13043	<	1.000000
http://mouse.owl#MA_0000293	http://human.owl#NCI_C33287	<	1.000000
http://mouse.owl#MA_0000305	http://human.owl#NCI_C33317	<	1.000000
http://mouse.owl#MA_0000350	http://human.owl#NCI_C33313	<	1.000000
http://mouse.owl#MA_0000407	http://human.owl#NCI_C12470	<	1.000000
http://mouse.owl#MA_0000413	http://human.owl#NCI_C13018	<	1.000000
http://mouse.owl#MA_0000422	http://human.owl#NCI_C13037	<	1.000000
http://mouse.owl#MA_0000427	http://human.owl#NCI_C48944	<	1.000000
http://mouse.owl#MA_0000432	http://human.owl#NCI_C38617	<	1.000000
http://mouse.owl#MA_0000456	http://human.owl#NCI_C32608	<	1.000000
http://mouse.owl#MA_0000578	http://human.owl#NCI_C32716	<	1.000000
http://mouse.owl#MA_0000590	http://human.owl#NCI_C12470	<	1.000000
http://mouse.owl#MA_0000770	http://human.owl#NCI_C33952	<	1.000000
http://mouse.owl#MA_0001096	http://human.owl#NCI_C12700	<	1.000000
http://mouse.owl#MA_0001100	http://human.owl#NCI_C12700	<	1.000000
http://mouse.owl#MA_0001148	http://human.owl#NCI_C12929	<	1.000000
http://mouse.owl#MA_0001347	http://human.owl#NCI_C12688	<	1.000000
http://mouse.owl#MA_0001417	http://human.owl#NCI_C34076	<	1.000000
http://mouse.owl#MA_0001442	http://human.owl#NCI_C12798	<	1.000000
http://mouse.owl#MA_0001513	http://human.owl#NCI_C13044	<	1.000000
http://mouse.owl#MA_0001514	http://human.owl#NCI_C13044	<	1.000000
http://mouse.owl#MA_0001544	http://human.owl#NCI_C32411	<	1.000000
http://mouse.owl#MA_0001616	http://human.owl#NCI_C25763	<	1.000000
http://mouse.owl#MA_0001648	http://human.owl#NCI_C12739	<	1.000000
http://mouse.owl#MA_0001705	http://human.owl#NCI_C12404	<	1.000000
http://mouse.owl#MA_0001779	http://human.owl#NCI_C49252	<	1.000000
http://mouse.owl#MA_0001786	http://human.owl#NCI_C12986	<	1.000000
http://mouse.owl#MA_0001837	http://human.owl#NCI_C13167	<	1.000000
http://mouse.owl#MA_0001911	http://human.owl#NCI_C13019	<	1.000000
http://mouse.owl#MA_0001922	http://human.owl#NCI_C32124	<	1.000000
http://mouse.owl#MA_0001992	http://human.owl#NCI_C32552	<	1.000000
http://mouse.owl#MA_0002244	http://human.owl#NCI_C33787	<	1.000000
http://mouse.owl#MA_0002279	http://human.owl#NCI_C13075	<	1.000000
http://mouse.owl#MA_0002501	http://human.owl#NCI_C13236	<	1.000000
http://mouse.owl#MA_0002527	http://human.owl#NCI_C13236	<	1.000000
http://mouse.owl#MA_0002720	http://human.owl#NCI_C25762	<	1.000000
