# Stufe-B '<'-heavy control slice (Antonio-approved 2026-06-13). READ-ONLY.
# dataset=mouse-human relation=< conditional_on=frozen d11c97e top-20 seed=42 N=45
# pool: gold '<' = 545, conditional '<' = 495; sampled 45.
# Used ONLY to check the winning arm does not degrade '<' — NEVER enters arm selection/tuning.
source_uri	target_uri	gold_relation
http://mouse.owl#MA_0000010	http://human.owl#NCI_C12919	<
http://mouse.owl#MA_0000041	http://human.owl#NCI_C40186	<
http://mouse.owl#MA_0000048	http://human.owl#NCI_C40186	<
http://mouse.owl#MA_0000063	http://human.owl#NCI_C12679	<
http://mouse.owl#MA_0000064	http://human.owl#NCI_C12679	<
http://mouse.owl#MA_0000168	http://human.owl#NCI_C33966	<
http://mouse.owl#MA_0000172	http://human.owl#NCI_C13031	<
http://mouse.owl#MA_0000184	http://human.owl#NCI_C13031	<
http://mouse.owl#MA_0000198	http://human.owl#NCI_C13031	<
http://mouse.owl#MA_0000253	http://human.owl#NCI_C13043	<
http://mouse.owl#MA_0000293	http://human.owl#NCI_C33287	<
http://mouse.owl#MA_0000305	http://human.owl#NCI_C33317	<
http://mouse.owl#MA_0000350	http://human.owl#NCI_C33313	<
http://mouse.owl#MA_0000407	http://human.owl#NCI_C12470	<
http://mouse.owl#MA_0000413	http://human.owl#NCI_C13018	<
http://mouse.owl#MA_0000422	http://human.owl#NCI_C13037	<
http://mouse.owl#MA_0000427	http://human.owl#NCI_C48944	<
http://mouse.owl#MA_0000432	http://human.owl#NCI_C38617	<
http://mouse.owl#MA_0000456	http://human.owl#NCI_C32608	<
http://mouse.owl#MA_0000578	http://human.owl#NCI_C32716	<
http://mouse.owl#MA_0000590	http://human.owl#NCI_C12470	<
http://mouse.owl#MA_0000770	http://human.owl#NCI_C33952	<
http://mouse.owl#MA_0001096	http://human.owl#NCI_C12700	<
http://mouse.owl#MA_0001100	http://human.owl#NCI_C12700	<
http://mouse.owl#MA_0001148	http://human.owl#NCI_C12929	<
http://mouse.owl#MA_0001347	http://human.owl#NCI_C12688	<
http://mouse.owl#MA_0001417	http://human.owl#NCI_C34076	<
http://mouse.owl#MA_0001442	http://human.owl#NCI_C12798	<
http://mouse.owl#MA_0001513	http://human.owl#NCI_C13044	<
http://mouse.owl#MA_0001514	http://human.owl#NCI_C13044	<
http://mouse.owl#MA_0001544	http://human.owl#NCI_C32411	<
http://mouse.owl#MA_0001616	http://human.owl#NCI_C25763	<
http://mouse.owl#MA_0001648	http://human.owl#NCI_C12739	<
http://mouse.owl#MA_0001705	http://human.owl#NCI_C12404	<
http://mouse.owl#MA_0001779	http://human.owl#NCI_C49252	<
http://mouse.owl#MA_0001786	http://human.owl#NCI_C12986	<
http://mouse.owl#MA_0001837	http://human.owl#NCI_C13167	<
http://mouse.owl#MA_0001911	http://human.owl#NCI_C13019	<
http://mouse.owl#MA_0001922	http://human.owl#NCI_C32124	<
http://mouse.owl#MA_0001992	http://human.owl#NCI_C32552	<
http://mouse.owl#MA_0002244	http://human.owl#NCI_C33787	<
http://mouse.owl#MA_0002279	http://human.owl#NCI_C13075	<
http://mouse.owl#MA_0002501	http://human.owl#NCI_C13236	<
http://mouse.owl#MA_0002527	http://human.owl#NCI_C13236	<
http://mouse.owl#MA_0002720	http://human.owl#NCI_C25762	<
