embedder,lora,verbalization_A,template_B,B_lever,dataset,subclass_R20,superclass_R20,pooled_R20,subclass_R10,superclass_R10
llama-embed-nemotron-8b,off,path_context,T1,default,g1-web,1.0,0.8846,0.1485,0.9655,0.8077
llama-embed-nemotron-8b,off,path_context,T1,default,g2-diseases,1.0,0.9091,0.1045,1.0,0.9091
llama-embed-nemotron-8b,off,path_context,T1,default,g3-text,0.6753,0.0861,0.374,0.5718,0.0524
llama-embed-nemotron-8b,off,path_context,T1,default,g5-groceries,0.6429,0.2566,0.1859,0.5714,0.2035
llama-embed-nemotron-8b,off,path_context,T1,default,g7-literature,0.5556,0.2692,0.2073,0.4444,0.2115
llama-embed-nemotron-8b,off,path_context,T1,default,mouse-human,0.4807,0.4967,0.2619,0.4257,0.4118
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,g1-web,0.9655,0.8462,0.1424,0.9655,0.7308
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,g2-diseases,0.963,0.9091,0.0989,0.9259,0.9091
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,g3-text,0.6706,0.0637,0.3622,0.5224,0.0262
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,g5-groceries,0.6429,0.2478,0.1667,0.5714,0.1681
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,g7-literature,0.3333,0.2885,0.1341,0.2222,0.1346
llama-embed-nemotron-8b,off,path_context,T2,sub_b_pin,mouse-human,0.4716,0.4788,0.2504,0.4165,0.3971
llama-embed-nemotron-8b,off,turtle,T1,default,g1-web,1.0,0.9231,0.1515,0.9655,0.8462
llama-embed-nemotron-8b,off,turtle,T1,default,g2-diseases,0.963,0.9091,0.1017,0.8519,0.9091
llama-embed-nemotron-8b,off,turtle,T1,default,g3-text,0.8071,0.3221,0.4291,0.6071,0.221
llama-embed-nemotron-8b,off,turtle,T1,default,g5-groceries,0.5,0.2655,0.0897,0.2857,0.1239
llama-embed-nemotron-8b,off,turtle,T1,default,g7-literature,0.7222,0.5769,0.2683,0.6111,0.3269
llama-embed-nemotron-8b,off,turtle,T1,default,mouse-human,0.5284,0.4134,0.2286,0.4349,0.3252
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,g1-web,1.0,0.9615,0.1545,1.0,0.8846
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,g2-diseases,1.0,0.9091,0.1017,0.963,0.9091
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,g3-text,0.8588,0.2809,0.4698,0.6988,0.1798
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,g5-groceries,0.6429,0.2389,0.1154,0.2143,0.1416
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,g7-literature,0.6667,0.4808,0.2317,0.5,0.2692
llama-embed-nemotron-8b,off,turtle,T2,sub_b_pin,mouse-human,0.5817,0.4608,0.2526,0.4807,0.3513
llama-embed-nemotron-8b,on,path_context,T1,default,g1-web,1.0,0.8846,0.1485,0.9655,0.8846
llama-embed-nemotron-8b,on,path_context,T1,default,g2-diseases,0.963,1.0,0.1017,0.9259,1.0
llama-embed-nemotron-8b,on,path_context,T1,default,g3-text,0.9035,0.3333,0.5328,0.7788,0.2322
llama-embed-nemotron-8b,on,path_context,T1,default,g5-groceries,1.0,0.5487,0.4038,0.8571,0.4071
llama-embed-nemotron-8b,on,path_context,T1,default,g7-literature,0.8333,0.7885,0.5976,0.7778,0.6154
llama-embed-nemotron-8b,on,path_context,T1,default,mouse-human,0.8624,0.5196,0.3481,0.7633,0.3954
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,g1-web,1.0,0.8462,0.1455,0.9655,0.8462
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,g2-diseases,0.9259,1.0,0.096,0.8519,1.0
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,g3-text,0.9106,0.3296,0.5328,0.7976,0.2172
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,g5-groceries,1.0,0.5487,0.4167,0.8571,0.3805
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,g7-literature,0.7222,0.6346,0.4024,0.5556,0.5
llama-embed-nemotron-8b,on,path_context,T2,sub_b_pin,mouse-human,0.8128,0.5196,0.3361,0.7028,0.3971
llama-embed-nemotron-8b,on,turtle,T1,default,g1-web,1.0,0.8846,0.1515,0.9655,0.8462
llama-embed-nemotron-8b,on,turtle,T1,default,g2-diseases,1.0,1.0,0.1045,1.0,0.9091
llama-embed-nemotron-8b,on,turtle,T1,default,g3-text,0.9506,0.4307,0.6142,0.8494,0.3333
llama-embed-nemotron-8b,on,turtle,T1,default,g5-groceries,0.7143,0.469,0.2949,0.5,0.2478
llama-embed-nemotron-8b,on,turtle,T1,default,g7-literature,0.8333,0.6346,0.439,0.8333,0.4423
llama-embed-nemotron-8b,on,turtle,T1,default,mouse-human,0.7945,0.5049,0.3475,0.6844,0.4101
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,g1-web,1.0,0.8462,0.1515,0.9655,0.8462
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,g2-diseases,1.0,1.0,0.1045,0.963,0.9091
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,g3-text,0.9671,0.427,0.6234,0.8988,0.3034
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,g5-groceries,0.7143,0.6283,0.4295,0.7143,0.4336
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,g7-literature,0.8333,0.7115,0.4512,0.8333,0.4808
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,mouse-human,0.7982,0.5098,0.3344,0.6936,0.4069
